ObjectID,Name of Organization/Program,Category,Street Address of Organization/Program,City of Organization/Program,Zip Code of Organization/Program,Phone Number of Organization/Program,Email of Organization/Program,Website of Organization/Program
1,Colors LGBTQ Youth Counseling Center,Center,Antioch University 400 Corporate Pointe,Culver City,90230,323-953-5130 or 310-578-1080,contact@colorsyouth.org or colors@antioch.edu,http://www.colorsyouth.org
2,ILP (Independent Living Program),Center,3530 Wilshire Blvd. Ste 400,Los Angeles,90010,877-694-5741,,http://www.ilponline.org/
3,Los Angeles LGBT Center - McDonald/Wright Building,Center,1625 N. Schrader Blvd.,Los Angeles,90028,323-993-7400,,http://www.lalgbtcenter.org
4,Los Angeles LGBT Center - The Village at Ed Gould Plaza,Center,1125 N. McCadden Pl.,Los Angeles,90038,323-993-7400,lifeworks@lalgbtcenter.org,http://www.lalgbtcenter.org
5,Los Angeles LGBT Center - Youth Center on Highland,Center,1220 N. Highland Ave.,Los Angeles,90038,323-860-2280,youthservices@lalgbtcenter.org,http://www.lalgbtcenter.org/
6,Mi Centro,Center,553 S. Clarence St.,Los Angeles,90033,323-285-7040,gdiaz@lalgbtcenter.org,http://www.lalgbtcenter.org/
7,San Gabriel Valley LGBTQ Center,Center,2607 S. Santa Anita Ave.,Arcadia,91016,626-578-5772,,http://www.sgvlgbtq.org
8,South Bay LGBT Center,Center,16610 Crenshaw Blvd.,Torrance,90504,310-328-6550,thecenter@southbaycenter.org,http://www.southbaycenter.wixsite.com/southbaylgbtcenter
9,The Center Long Beach,Center,2017 E. 4th St.,Long Beach,90814,562-434-4455,info@centerlb.org,http://www.centerlb.org/
10,The OUTreach Center,Center,44845 Cedar Ave.,Lancaster,93534,661-927-7433,info@outreachcenterav.org,http://www.outreachcenterav.org/index.html
11,Walden Family Services,Center,"6345 Balboa Blvd., Ste. 130",Encino,91316,619-584-5777,,http://www.waldenfamily.org
12,Youth Emerging Stronger (Formerly LAYN),Center,1853 Taft Ave.,Los Angeles,90028,323-467-8466,,http://www.youthemergingstronger.org/
13,API Equality,Communities of Color,"1137 Wilshire Blvd., Suite 101",Los Angeles,90017,213-580-1800,contact@apiequalityla.org,http://www.apiequalityla.org/
14,Jordan/Rustin Coalition,Communities of Color,"900 Avila St., Ste 301",Los Angeles,90012,,,http://www.facebook.com/jordan.rustin/
15,5 Keys Charter School at the LA LGBT Center,Education,1125 N. McCadden Pl.,Los Angeles,90038,323-709-3180,diannac@fivekeyscharter.org,http://www.lifeworksla.org/high_school
16,Latino Equality Alliance,Education,553 S. Clarence St.,Los Angeles,90033,323-286-7224,,http://www.latinoequalityalliance.org/
17,ONE National Gay & Lesbian Archives at the USC Libraries,Education,909 West Adams Blvd.,Los Angeles,90007,213-821-2771,askone@usc.edu,http://www.one.usc.edu/
18,Project Angel Food,Food,922 Vine St.,Los Angeles,90038,323-845-1800,cs@angelfood.org,http://www.angelfood.org/site/PageServer
19,AHF Healthcare Center - Downtown LA,Health,"1400 S. Grand Ave., Ste 801",Los Angeles,90015,213-741-9727,,http://www.hivcare.org/
