location,start_date,end_date,description,USA for sure,timestamp
Miami,11/22/2006,11/27/2006,White Party Week,0,20061026221710
Aspen,1/14/2007,1/21/2007,Gay and Lesbian Ski Week,0,20070114195410
Miami,1/28/2007,2/4/2007,Freedom Caribbean Cruise,0,20070125091636
Miami,2/28/2007,3/5/2007,Winter Party,0,20070206002150
Orlando,5/29/2007,6/4/2007,Gay Days Reunion Weekend,0,20070125091636
Orlando,5/29/2007,5/29/2007,Gay Days One Mighty Weekend,0,20070518172714
New York,6/17/2007,6/24/2007,NYC Gay Pride,0,20070518172714
San Francisco,6/23/2007,6/24/2007,San Francisco Pride,0,20070518172714
San Francisco,9/30/2007,9/30/2007,Folsom Street Fair,0,20070925160559
Miami,11/21/2007,11/26/2007,White Party Week,0,20071117111838
Aspen,1/13/2008,1/20/2008,Gay and Lesbian Ski Week,0,20071217191524
Miami,1/19/2008,1/26/2008,Atlantis Caribbean Cruise,0,20080117051103
New Orleans,2/1/2008,2/5/2008,Gay Mardi Gras,0,20080117051103
Miami,2/25/2008,2/25/2008,Winter Party Miami,1,20081220152307
Miami,2/27/2008,2/27/2008,Winter Party Miami,0,20080217232117
Chicago,5/22/2008,5/26/2008,International Mr Leather,0,20080419012735
Orlando,6/5/2008,6/8/2008,Gay Days One Mighty Weekend,0,20080526135008
Los Angeles,6/6/2008,6/8/2008,Los Angeles Pride,0,20080526135008
New York,6/22/2008,6/29/2008,NYC Gay Pride,0,20080526135008
San Francisco,6/28/2008,6/29/2008,San Francisco Pride,0,20080625230919
Chicago,6/29/2008,6/29/2008,Chicago Pride,0,20080625230919
New Orleans,8/27/2008,8/27/2008,Southern Decadence,0,20080724104742
San Francisco,9/28/2008,9/28/2008,Folsom Street Fair,0,20080913071856
Los Angeles,10/3/2008,10/5/2008,Gay Days Anaheim,0,20080930032343
Palm Springs,11/1/2008,11/2/2008,Greater Palm Springs Pride,0,20080930032343
Aspen,1/11/2009,1/18/2009,Gay and Lesbian Ski Week,1,20081220152307
New Orleans,2/19/2009,2/24/2009,Gay Mardi Gras,1,20090219140144
Miami,2/25/2009,3/2/2009,Winter Party Miami,1,20090222192240
Fort Lauderdale,3/8/2009,3/15/2009,Atlantis Caribbean Cruise,1,20090222192240
Las Vegas,5/1/2009,5/2/2009,Las Vegas Pride,1,20090421070047
Chicago,5/21/2009,5/25/2009,International Mr Leather,1,20090421070047
Orlando,6/4/2009,6/7/2009,Gay Days One Mighty Weekend,1,20090421070047
Los Angeles,6/12/2009,6/14/2009,Los Angeles Pride,1,20090421070047
New York,6/20/2009,6/28/2009,NYC Gay Pride,1,20090421070047
San Francisco,6/27/2009,6/28/2009,San Francisco Pride,1,20090421070047
Chicago,6/28/2009,6/28/2009,Chicago Pride,1,20090421070047
San Diego,7/18/2009,7/19/2009,San Diego Pride,1,20090421070047
New Orleans,9/2/2009,9/7/2009,Southern Decadence,1,20090820180634
San Francisco,9/27/2009,9/27/2009,Folsom Street Fair,1,20090820180634
Los Angeles,10/2/2009,10/4/2009,Gay Days Anaheim,1,20090820180634
Los Angeles,10/18/2009,10/25/2009,Atlantis LA Mexico gay cruise,1,20090820180634
Palm Springs,11/7/2009,11/8/2009,Greater Palm Springs Pride,1,20090820180634
Miami,11/25/2009,11/30/2009,White Party Week,1,20090820180634
Aspen,1/17/2010,1/24/2010,Gay and Lesbian Ski Week,1,20090820180634
Miami,1/17/2010,1/24/2010,Atlantis Caribbean Cruise,1,20090820180634
New Orleans,2/16/2010,2/16/2010,Gay Mardi Gras,1,20090820180634
Miami,3/3/2010,3/8/2010,Winter Party Miami,1,20090820180634
Fort Lauderdale,3/7/2010,3/14/2010,Atlantis Caribbean Cruise,1,20090820180634
Cleveland,4/22/2010,4/25/2010,Claw Leather Awareness,1,20100424005357
Dallas,4/30/2010,5/2/2010,Purple Party,1,20100429143621
Las Vegas,4/30/2010,5/1/2010,Las Vegas Pride,1,20100429143621
New York,5/16/2010,5/16/2010,NY AIDS Walk,1,20100429143621
Miami,5/27/2010,6/1/2010,Sizzle,1,20100429143621
Chicago,5/28/2010,5/31/2010,International Mr Leather,1,20100429143621
Key West,5/29/2010,6/6/2010,Key West PrideFest ,1,20100429143621
Orlando,6/1/2010,6/7/2010,Disney Gay Days,1,20100429143621
Boston,6/4/2010,6/13/2010,Boston Pride,1,20100429143621
Orlando,6/4/2010,6/6/2010,One Mighty Weekend,1,20100429143621
Washington D.C,6/4/2010,6/13/2010,Capital pride,1,20100429143621
Los Angeles,6/11/2010,6/13/2010,Los Angeles Pride,1,20100429143621
Honolulu,6/19/2010,6/19/2010,Honolulu gay pride,1,20100429143621
New York,6/19/2010,6/27/2010,NYC Gay Pride,1,20100429143621
New York,6/20/2010,6/20/2010,Folsom Street East,1,20100429143621
San Francisco,6/26/2010,6/27/2010,San Francisco Pride,1,20100429143621
New York,6/27/2010,6/27/2010,Dance at the Pier,1,20100429143621
Provincetown,7/1/2010,7/8/2010,Independence Weekend,1,20100429143621
Provincetown,7/10/2010,7/18/2010,Bear Week,1,20100429143621
San Diego,7/17/2010,7/18/2010,San Diego Pride,1,20100429143621
San Francisco,7/25/2010,7/25/2010,Up Your Alley,1,20100429143621
Chicago,8/7/2010,8/8/2010,Northalsted Market Days,1,20100429143621
Provincetown,8/15/2010,8/21/2010,Carnival,1,20100429143621
Black Rock Desert,9/1/2010,9/1/2010,Gay Pride at Burning man ,1,20100429143621
New Orleans,9/1/2010,9/6/2010,Southern Decadence,1,20100429143621
San Francisco,9/26/2010,9/26/2010,Folsom Street Fair,1,20100429143621
Los Angeles,10/1/2010,10/3/2010,Gay Days Anaheim,1,20100429143621
Los Angeles,10/17/2010,10/24/2010,Atlantis LA Mexico gay cruise,1,20100429143621
Honolulu,10/30/2010,11/6/2010,RSVP Hawaiian Islands Cruise,1,20100429143621
Palm Springs,11/6/2010,11/7/2010,Greater Palm Springs Pride,1,20100429143621
Miami,11/24/2010,11/29/2010,White Party Week,1,20100429143621
Washington D.C,1/14/2011,1/17/2011,Mid Atlantic Leather Weekend,1,20100429143621
Aspen,1/16/2011,1/23/2011,Gay and Lesbian Ski Week,1,20101222151431
Fort Lauderdale,2/6/2011,2/13/2011,Atlantis Caribbean Cruise,1,20100429143621
New Orleans,3/4/2011,3/8/2011,Gay Mardi Gras,1,20100429143621
Miami,3/9/2011,3/14/2011,Winter Party Miami,1,20110221072625
Fort Lauderdale,3/12/2011,3/13/2011,Pridefest South Florida,1,20110221072625
Mammoth Lakes,3/16/2011,3/20/2011,Elevation Mammoth gay ski week,1,20110221072625
Washington D.C,3/31/2011,4/3/2011,Cherry,1,20110221072625
Palm Springs,4/8/2011,4/11/2011,White Party Palm Springs,1,20110221072625
Miami,4/16/2011,4/16/2011,Miami Beach gay pride,1,20110221072625
Cleveland,4/28/2011,5/1/2011,Claw Leather Awareness,1,20110423050351
Dallas,4/29/2011,5/2/2011,Purple Party,1,20110423050351
Honolulu,5/9/2011,5/15/2011,Paradise Circuit Festival,1,20110423050351
New York,5/15/2011,5/15/2011,NY AIDS Walk,1,20110423050351
Los Angeles,5/21/2011,5/22/2011,Long Beach Pride,1,20110520094401
Miami,5/26/2011,5/31/2011,Sizzle,1,20110520094401
Washington D.C,5/26/2011,5/29/2011,DC Black Pride,1,20110520094401
Chicago,5/27/2011,5/30/2011,International Mr Leather,1,20110520094401
Orlando,5/31/2011,6/6/2011,Disney Gay Days,1,20110520094401
Orlando,6/2/2011,6/6/2011,Wonder World,1,20110520094401
Washington D.C,6/2/2011,6/12/2011,Capital pride,1,20110520094401
Boston,6/3/2011,6/12/2011,Boston Pride,1,20110520094401
Key West,6/8/2011,6/12/2011,Key West PrideFest ,1,20110520094401
